No;Pesan;Panjang Pesan;Waktu Enkripsi (ms);Waktu Dekripsi (ms);Waktu menurunkan kunci bersama (ms)
1;Voluptate fugiat dolore cillum ad sint laboris culpa id ad magna labore commodo. Nisi aliquip commodo mollit voluptate deserunt amet magna esse consequat fugiat qui. Proident ipsum fugiat ullamco excepteur voluptate voluptate incididunt. Voluptate culpa aliquip esse incididunt fugiat deserunt tempor eiusmod in duis ea. Est ipsum laboris sit in proident. Exercitation aliquip eiusmod qui ad fugiat commodo. Voluptate laborum commodo consequat laboris ullamco mollit velit deserunt deserunt minim magna dolor ullamco. Qui veniam ea exercitation commodo deserunt. Commodo dolore enim nisi aute laboris officia excepteur officia. Duis nisi eiusmod sit Lorem veniam ad cupidatat duis dolor quis. Velit laborum aliqua elit enim. Laboris sint ullamco officia ullamco. Incididunt aliquip magna non dolore deserunt anim ad dolor eiusmod esse irure aliqua veniam. Laborum nisi magna ullamco velit magna mollit laborum. Sunt culpa sunt consectetur amet in minim nisi esse fugiat velit ex est quis. Tempor exercitation elit elit qui non reprehenderit ut. Adipisicing tempor veniam consectetur consectetur ut sint aliquip. Ex minim eiusmod consequat aliqua anim excepteur sint anim. Et culpa velit veniam anim ullamco velit deserunt ea in. Proident excepteur ea fugiat sint ut amet ea dolor deserunt ipsum sunt eiusmod.;1308;0.078435ms;0.053685ms;2.320868ms
2;Nulla minim laboris nulla incididunt nostrud ad do nostrud labore velit tempor fugiat dolore in. Reprehenderit mollit reprehenderit aute elit laboris. Labore id officia cillum ullamco do consequat pariatur pariatur incididunt id laboris. Excepteur tempor laboris ullamco occaecat laborum culpa deserunt exercitation ex consectetur esse. Sint voluptate occaecat reprehenderit dolore consequat. Voluptate excepteur sit ex amet enim deserunt labore fugiat mollit esse. In magna deserunt enim deserunt nostrud incididunt officia. Eu commodo sint nisi amet anim minim culpa magna labore eu aliquip. Qui cillum minim nostrud tempor exercitation. Reprehenderit cillum exercitation nostrud aute occaecat voluptate ullamco adipisicing ullamco aute excepteur fugiat reprehenderit mollit. Nisi adipisicing veniam aliquip anim ad tempor esse adipisicing minim ad incididunt. Culpa adipisicing pariatur est occaecat consequat nulla ad laborum ipsum. Adipisicing sit pariatur labore cillum consequat fugiat. Nulla officia officia ullamco amet officia exercitation occaecat aliqua cupidatat do. Magna ex nisi Lorem nostrud sunt qui velit proident deserunt elit tempor cupidatat. Sit nisi consectetur excepteur nisi laborum. Lorem excepteur Lorem pariatur adipisicing nulla esse voluptate laboris nulla eiusmod deserunt. Veniam sint elit magna qui ut. Voluptate ut et ea eiusmod. Dolor cillum proident magna elit eiusmod proident ipsum dolor ut minim cupidatat.;1445;0.019604ms;0.015177ms;2.264308ms
3;Culpa ullamco minim aliqua magna mollit excepteur labore. Aliquip incididunt reprehenderit cillum incididunt ad. Est et ullamco pariatur ut esse Lorem laborum dolore. Ullamco pariatur cillum quis sit pariatur anim aute incididunt officia ex consectetur voluptate in commodo. Consequat culpa id tempor laborum ullamco non amet ea do incididunt commodo laborum ipsum. Mollit ullamco commodo fugiat mollit ut do aliquip ex. Fugiat dolor ipsum nisi id veniam consequat laboris qui eiusmod. Aliquip occaecat magna consectetur nostrud incididunt sit sint quis Lorem qui. Est adipisicing occaecat aliquip irure cillum sint ullamco minim culpa labore. Officia reprehenderit ut aliquip pariatur proident tempor labore aliquip eu cupidatat voluptate labore sint qui. In exercitation consequat fugiat quis magna. Irure laborum in adipisicing aute ipsum ullamco officia. Aute ex nisi ipsum reprehenderit officia nostrud deserunt proident pariatur. Pariatur est commodo in quis aute officia. Non velit mollit est commodo cupidatat veniam exercitation proident Lorem sunt deserunt sint occaecat. Quis nostrud minim fugiat id est exercitation. Reprehenderit officia cupidatat aliqua in consectetur anim magna non non consequat ea ipsum eu dolor. Lorem pariatur pariatur esse cupidatat mollit labore reprehenderit nisi qui eiusmod culpa do. Dolore amet irure laborum commodo amet eu. Tempor voluptate nisi magna nostrud deserunt commodo do veniam.;1431;0.013808ms;0.01432ms;2.241377ms
4;Cillum eu eiusmod anim enim irure deserunt dolore ad do commodo sit eiusmod voluptate. Et dolore duis cupidatat sunt sit ipsum. Voluptate reprehenderit eiusmod do excepteur laborum mollit elit eiusmod officia occaecat. Aute occaecat consectetur mollit ex exercitation enim laborum ad non laboris. Nulla velit anim deserunt irure. Eiusmod enim tempor ut labore ex incididunt deserunt. Velit officia labore elit dolore duis eu ullamco anim. Non dolor reprehenderit laboris ullamco sunt occaecat quis sit ex ut magna reprehenderit dolor. Nulla est ad duis ipsum irure. Officia veniam ad velit aute ullamco incididunt qui veniam cillum. Reprehenderit in est amet minim sit aute elit fugiat. Aliqua reprehenderit in fugiat adipisicing est sunt adipisicing velit tempor ex amet do commodo. Ad aute adipisicing ea consectetur officia aliqua dolor occaecat laboris ullamco adipisicing. Voluptate enim cillum id incididunt aliqua qui commodo eiusmod ea magna laborum pariatur. Ullamco pariatur irure deserunt commodo minim qui consectetur dolore eiusmod cillum excepteur. Incididunt irure minim consequat ex veniam id ea do adipisicing id eu aute. Commodo amet occaecat fugiat voluptate nisi nisi culpa nostrud consequat anim do labore non dolore. Adipisicing id non exercitation nostrud laboris elit sit mollit ad veniam qui non ea. Sit laborum aliqua laborum eiusmod ea et ea. Ut nulla nulla ullamco id proident cupidatat id nulla.;1424;0.01345ms;0.016393ms;2.234547ms
5;Cillum id pariatur occaecat esse. Deserunt sit esse cillum nulla magna mollit incididunt voluptate cillum magna esse ipsum excepteur. Deserunt magna cillum est qui excepteur aliqua quis consequat cillum esse magna. Do eiusmod veniam eu in minim elit duis ut in amet mollit laboris. Nulla minim enim aute culpa reprehenderit sint cillum ex. Cupidatat aute dolore nulla deserunt nulla. Id velit cupidatat fugiat veniam non labore consectetur ad sit elit. Tempor nisi laborum proident laboris ipsum ullamco enim anim irure aute reprehenderit est duis. Mollit occaecat adipisicing sunt sint ipsum aute Lorem aliquip reprehenderit. Sint quis cupidatat ipsum dolore excepteur. Qui aliqua deserunt cupidatat cillum amet do sunt laborum ullamco elit. Nostrud ullamco Lorem nisi adipisicing dolor in elit nulla mollit reprehenderit ipsum eiusmod. Qui aliqua irure enim ut non eu. Ex qui fugiat qui adipisicing laborum. Minim mollit mollit esse dolore reprehenderit exercitation proident commodo aliqua enim ad aute proident elit. Eu tempor qui elit dolore ea officia minim fugiat mollit laboris irure. Qui ex exercitation cupidatat velit quis ex voluptate commodo eu. Nulla do aliqua laboris laboris ullamco enim minim laborum commodo adipisicing duis incididunt dolore. Occaecat tempor incididunt magna labore exercitation et deserunt esse consequat duis nisi irure ut. Sint mollit ut esse cupidatat ut culpa exercitation.;1414;0.014841ms;0.018714ms;2.249983ms
6;Incididunt aute enim ullamco in esse sint consectetur esse adipisicing ad ex incididunt fugiat. Officia labore tempor dolor fugiat consequat culpa consequat ullamco elit incididunt cillum deserunt irure voluptate. Ut excepteur laborum irure nulla quis exercitation elit ut. Elit consequat excepteur cillum excepteur. Aliqua in quis anim irure amet. Ipsum dolor qui occaecat voluptate nulla quis ullamco. Occaecat ut nulla non duis aliqua officia eu sit adipisicing pariatur. Eu labore fugiat nulla commodo dolore duis aute minim nisi non Lorem do nisi. Laborum adipisicing ea mollit ea qui voluptate officia aliquip dolore exercitation ad Lorem ex. Enim sunt aute ex laborum officia consectetur. Veniam duis excepteur pariatur in cupidatat magna nisi. Aliquip veniam consectetur laborum anim qui. Deserunt pariatur deserunt exercitation aute. Ullamco incididunt eu minim non sint aliquip. Est sunt elit eu aute labore sunt deserunt aute voluptate magna labore nulla. Anim ea irure nulla et ad pariatur. Nulla ullamco amet tempor ut culpa amet veniam cupidatat aute laboris magna pariatur. Deserunt proident quis ipsum veniam consectetur culpa. In et et enim aute dolor laboris esse laborum proident ex commodo. Cillum nulla est Lorem qui amet.;1243;0.011004ms;0.014147ms;2.198804ms
7;Eiusmod tempor do tempor in mollit nulla aliqua. Ut duis do in incididunt anim laboris pariatur et velit esse excepteur do. Laborum est in tempor nostrud aute magna incididunt ut minim enim velit anim culpa officia. Occaecat in dolor ipsum consequat. Eu ex esse magna ut et ullamco aliqua. Fugiat est consectetur id aute velit. In nulla consectetur ullamco sunt incididunt excepteur labore laboris culpa quis elit eu. Culpa enim voluptate ad ipsum minim minim. Pariatur aliqua aute sunt velit aliquip id anim incididunt laborum elit. Veniam consectetur qui dolore mollit enim ullamco. Aliquip ullamco pariatur qui velit est consectetur esse tempor sit culpa mollit. In velit duis minim aliquip in fugiat ad. Sint officia commodo cillum elit quis anim culpa. Ad enim magna ut voluptate esse eiusmod. Consequat pariatur non Lorem velit in ullamco nostrud veniam id. Enim adipisicing reprehenderit ullamco pariatur eiusmod ad ex nisi eiusmod aliqua irure. Fugiat cupidatat ullamco dolor ex incididunt eiusmod. Ipsum consequat velit aute exercitation cillum labore labore officia magna tempor culpa laboris. Quis veniam anim consequat sint laborum sunt. Nostrud dolor irure culpa et aliqua ad eiusmod incididunt pariatur.;1217;0.011639ms;0.011706ms;2.231612ms
8;Cillum est ut consectetur pariatur. Excepteur pariatur et in officia in ullamco consequat proident. Aute et duis nostrud aliqua minim sit veniam. Ea nulla dolore velit eiusmod non elit ad cupidatat duis incididunt duis. Esse elit tempor enim aute. Esse non nostrud voluptate minim eiusmod Lorem Lorem consectetur velit do ex sit. Anim fugiat ea occaecat aliquip. Id magna eu minim est. Anim elit cupidatat ad eiusmod voluptate fugiat eu mollit. Aute nisi qui id laboris consequat reprehenderit irure cupidatat ea Lorem fugiat pariatur esse dolor. Voluptate nisi aute veniam labore deserunt velit commodo occaecat. Adipisicing ea id id non qui minim aliqua non velit. Enim velit laborum non occaecat proident mollit ut deserunt. Proident nulla irure cupidatat dolore ad cupidatat veniam. Duis nostrud non commodo cupidatat et mollit elit et laborum non esse officia. Laboris id minim esse deserunt. Quis elit adipisicing aliquip quis anim laboris ad duis qui in. Adipisicing deserunt minim consectetur eu reprehenderit quis aliquip magna id officia ad sit. Dolor aute quis do do aliqua laboris esse sit eiusmod proident velit nisi magna. Consequat anim laborum ad do exercitation.;1179;0.012858ms;0.010995ms;2.294897ms
9;Non laborum duis sint ad dolore elit eiusmod aliquip. Incididunt dolore ad non eiusmod magna mollit sunt qui laborum officia aute. Aute laboris sunt nisi nisi laboris veniam Lorem. Nulla esse ex anim cillum in voluptate et labore. Est ipsum amet consectetur ullamco laborum cupidatat enim. Est sint reprehenderit et ad tempor labore esse ut sint minim voluptate veniam. Ex pariatur laboris cillum deserunt commodo magna adipisicing labore eiusmod. Laborum ut tempor sunt et id velit ipsum magna culpa aliquip in minim proident. Tempor eu do et dolore esse laborum nostrud id laboris nulla do minim tempor. Proident sunt sunt esse commodo nostrud est id ad dolore est do. Ex non consectetur voluptate esse velit proident ex. Non qui nostrud officia laboris et dolor culpa ea voluptate non magna fugiat. Incididunt et ad tempor deserunt proident laborum qui Lorem eu duis deserunt minim reprehenderit mollit. Sit ullamco proident cupidatat Lorem id ex fugiat. Quis dolor ea in in ipsum ex reprehenderit elit eu aliqua. Eiusmod nulla ipsum tempor officia est cillum amet mollit commodo do. Non dolore proident magna proident veniam amet laborum in cillum sit. Irure minim Lorem id est officia in incididunt laboris cupidatat. Cupidatat laboris do aute amet. Minim pariatur est dolore exercitation laborum Lorem laborum nisi commodo.;1329;0.012331ms;0.011768ms;2.212066ms
10;Anim adipisicing anim non sunt proident minim exercitation commodo ut ut enim anim. Nulla incididunt in ut excepteur esse duis enim sit. Duis aliquip velit aliquip dolore id dolor in est ad amet cupidatat et officia. Ut velit minim cillum Lorem velit ullamco. Velit ipsum excepteur non velit consectetur sunt. Do ex laboris quis exercitation fugiat ad velit adipisicing exercitation do do. In dolor culpa adipisicing velit Lorem. Incididunt do veniam duis ut nulla dolor anim dolore amet nisi. Id laborum irure irure magna qui excepteur ad in culpa. Velit pariatur voluptate cillum sunt in elit. Magna cillum culpa mollit pariatur amet esse id consectetur adipisicing. Id id occaecat qui nulla laboris deserunt. Anim dolor adipisicing occaecat dolor consequat excepteur laborum consectetur eiusmod elit aute. Exercitation est est enim veniam ullamco ipsum do aute ea Lorem ex eu. Veniam veniam officia ea cillum dolor. Et ullamco adipisicing amet occaecat laboris aute cupidatat anim eiusmod magna. Qui aliquip nostrud proident enim. Sit qui aute consectetur cillum magna sunt magna adipisicing deserunt velit. Non laboris labore esse adipisicing consectetur proident exercitation dolore quis qui. Lorem ipsum mollit ea aliquip fugiat anim duis nulla officia aliquip occaecat dolore tempor Lorem.;1296;0.012064ms;0.012395ms;2.212125ms
